t,x,y,z,Vx,vY,vZ
0,0,0,0,8.07107,-5,7.07107
0.001,0.00806133,-0.00499397,0.00705764,8.05162,-4.98795,7.04424
0.002,0.0161033,-0.00997592,0.0140885,8.03227,-4.97597,7.01753
0.003,0.0241259,-0.0149459,0.0210927,8.01303,-4.96404,6.99093
0.004,0.0321294,-0.019904,0.0280704,7.99389,-4.95219,6.96444
0.005,0.0401137,-0.0248503,0.0350216,7.97484,-4.94039,6.93806
0.006,0.0480791,-0.0297848,0.0419466,7.9559,-4.92866,6.91179
0.007,0.0560256,-0.0347076,0.0488453,7.93706,-4.91698,6.88563
0.008,0.0639532,-0.0396188,0.0557179,7.91832,-4.90537,6.85958
0.009,0.0718622,-0.0445184,0.0625645,7.89967,-4.89382,6.83364
0.01,0.0797526,-0.0494065,0.0693852,7.88112,-4.88233,6.80781
0.011,0.0876245,-0.0542831,0.0761801,7.86267,-4.8709,6.78208
0.012,0.095478,-0.0591483,0.0829494,7.84431,-4.85952,6.75645
0.013,0.103313,-0.0640022,0.0896931,7.82605,-4.84821,6.73094
0.014,0.11113,-0.0688447,0.0964113,7.80788,-4.83695,6.70552
0.015,0.118929,-0.0736761,0.103104,7.7898,-4.82576,6.68021
0.016,0.12671,-0.0784963,0.109772,7.77182,-4.81462,6.655
0.017,0.134473,-0.0833053,0.116414,7.75393,-4.80353,6.62989
0.018,0.142218,-0.0881033,0.123032,7.73613,-4.7925,6.60488
0.019,0.149945,-0.0928904,0.129624,7.71842,-4.78153,6.57997
0.02,0.157654,-0.0976664,0.136192,7.7008,-4.77062,6.55516
0.021,0.165346,-0.102432,0.142734,7.68327,-4.75976,6.53045
0.022,0.173021,-0.107186,0.149252,7.66583,-4.74895,6.50584
0.023,0.180678,-0.11193,0.155746,7.64847,-4.7382,6.48132
0.024,0.188318,-0.116662,0.162215,7.63121,-4.72751,6.4569
0.025,0.195941,-0.121385,0.16866,7.61403,-4.71686,6.43258
0.026,0.203546,-0.126096,0.17508,7.59693,-4.70627,6.40834
0.027,0.211135,-0.130797,0.181477,7.57992,-4.69574,6.38421
0.028,0.218706,-0.135488,0.187849,7.563,-4.68525,6.36017
0.029,0.226261,-0.140168,0.194197,7.54616,-4.67482,6.33622
0.03,0.233798,-0.144837,0.200521,7.52941,-4.66444,6.31236
0.031,0.241319,-0.149497,0.206822,7.51273,-4.65411,6.28859
0.032,0.248824,-0.154146,0.213098,7.49614,-4.64384,6.26491
0.033,0.256312,-0.158784,0.219352,7.47963,-4.63361,6.24133
0.034,0.263783,-0.163413,0.225581,7.46321,-4.62343,6.21783
0.035,0.271238,-0.168031,0.231787,7.44686,-4.6133,6.19442
0.036,0.278677,-0.172639,0.23797,7.43059,-4.60323,6.1711
0.037,0.286099,-0.177238,0.244129,7.4144,-4.5932,6.14787
0.038,0.293506,-0.181826,0.250266,7.3983,-4.58322,6.12472
0.039,0.300896,-0.186404,0.256379,7.38227,-4.57329,6.10166
0.04,0.30827,-0.190972,0.262469,7.36631,-4.56341,6.07869
0.041,0.315629,-0.195531,0.268536,7.35044,-4.55357,6.0558
0.042,0.322971,-0.20008,0.274581,7.33464,-4.54378,6.03299
0.043,0.330298,-0.204618,0.280602,7.31892,-4.53404,6.01027
0.044,0.337609,-0.209148,0.286601,7.30327,-4.52435,5.98763
0.045,0.344904,-0.213667,0.292578,7.2877,-4.5147,5.96508
0.046,0.352184,-0.218177,0.298531,7.2722,-4.5051,5.9426
0.047,0.359449,-0.222677,0.304463,7.25678,-4.49555,5.92021
0.048,0.366698,-0.227168,0.310372,7.24143,-4.48604,5.8979
0.049,0.373932,-0.23165,0.316259,7.22615,-4.47658,5.87566
0.05,0.38115,-0.236121,0.322123,7.21095,-4.46716,5.85351
0.051,0.388354,-0.240584,0.327966,7.19581,-4.45778,5.83144
0.052,0.395542,-0.245037,0.333786,7.18075,-4.44845,5.80944
0.053,0.402715,-0.249481,0.339585,7.16576,-4.43917,5.78753
0.054,0.409874,-0.253915,0.345361,7.15084,-4.42992,5.76569
0.055,0.417017,-0.258341,0.351116,7.136,-4.42073,5.74392
0.056,0.424146,-0.262757,0.356849,7.12122,-4.41157,5.72224
0.057,0.431259,-0.267164,0.362561,7.10651,-4.40246,5.70063
0.058,0.438359,-0.271562,0.36825,7.09186,-4.39339,5.67909
0.059,0.445443,-0.275951,0.373919,7.07729,-4.38436,5.65763
0.06,0.452513,-0.28033,0.379566,7.06278,-4.37537,5.63625
0.061,0.459569,-0.284701,0.385191,7.04835,-4.36643,5.61493
0.062,0.46661,-0.289063,0.390796,7.03397,-4.35752,5.59369
0.063,0.473637,-0.293416,0.396379,7.01967,-4.34866,5.57253
0.064,0.480649,-0.297761,0.401941,7.00543,-4.33984,5.55143
0.065,0.487648,-0.302096,0.407482,6.99125,-4.33106,5.53041
0.066,0.494632,-0.306423,0.413001,6.97714,-4.32232,5.50946
0.067,0.501602,-0.310741,0.418501,6.9631,-4.31362,5.48858
0.068,0.508558,-0.31505,0.423979,6.94912,-4.30496,5.46777
0.069,0.5155,-0.319351,0.429436,6.9352,-4.29634,5.44703
0.07,0.522428,-0.323643,0.434873,6.92135,-4.28775,5.42636
0.071,0.529343,-0.327926,0.440289,6.90756,-4.27921,5.40576
0.072,0.536244,-0.332201,0.445684,6.89383,-4.27071,5.38522
0.073,0.543131,-0.336468,0.451059,6.88016,-4.26224,5.36476
0.074,0.550004,-0.340726,0.456414,6.86656,-4.25381,5.34436
0.075,0.556864,-0.344975,0.461748,6.85302,-4.24542,5.32403
0.076,0.56371,-0.349216,0.467062,6.83953,-4.23707,5.30376
0.077,0.570543,-0.353449,0.472356,6.82611,-4.22875,5.28356
0.078,0.577362,-0.357674,0.477629,6.81275,-4.22048,5.26343
0.079,0.584168,-0.36189,0.482882,6.79945,-4.21224,5.24336
0.08,0.590961,-0.366098,0.488116,6.78621,-4.20403,5.22336
0.081,0.597741,-0.370298,0.493329,6.77302,-4.19586,5.20342
0.082,0.604507,-0.37449,0.498523,6.7599,-4.18773,5.18355
0.083,0.611261,-0.378674,0.503696,6.74683,-4.17964,5.16374
0.084,0.618001,-0.382849,0.50885,6.73382,-4.17158,5.14399
0.085,0.624728,-0.387017,0.513984,6.72087,-4.16355,5.12431
0.086,0.631443,-0.391177,0.519099,6.70797,-4.15557,5.10468
0.087,0.638144,-0.395328,0.524194,6.69513,-4.14761,5.08512
0.088,0.644833,-0.399472,0.529269,6.68235,-4.13969,5.06562
0.089,0.651509,-0.403608,0.534325,6.66962,-4.13181,5.04619
0.09,0.658172,-0.407735,0.539361,6.65695,-4.12396,5.02681
0.091,0.664823,-0.411856,0.544379,6.64434,-4.11615,5.00749
0.092,0.671461,-0.415968,0.549376,6.63178,-4.10836,4.98823
